yourlist:M202202115BF3C56A578D7D6DFD1FC81EE5DA77304059810	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
AAY79877	Q4JBF2	Y468_SULAC	reviewed	Putative antitoxin Saci_0468	Saci_0468	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	82
AAY80251	Q4JAC9	Q4JAC9_SULAC	unreviewed	Inorganic phosphate transporter	Saci_0886	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	493
AAY80840	Q4J8P0	Q4J8P0_SULAC	unreviewed	Membrane protein	Saci_1521	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	480
AAY80402	Q4J9X7	Q4J9X7_SULAC	unreviewed	Conserved Archaeal membrane protein	Saci_1045	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	443
AAY81246	Q4J7I5	Q4J7I5_SULAC	unreviewed	Sugar proton symporter	Saci_1943	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	485
AAY80488	Q4J9P3	Q4J9P3_SULAC	unreviewed	Sugar transporter	Saci_1136	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	471
AAY81031	Q4J843	Q4J843_SULAC	unreviewed	Sugar-proton symporter	Saci_1725	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	473
AAY81089	Q4J7Z1	Q4J7Z1_SULAC	unreviewed	Sugar-related transporter	Saci_1782	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	492
AAY81370	Q4J761	Q4J761_SULAC	unreviewed	Sugar transporter	Saci_2076	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	452
AAY81389	Q4J737	Q4J737_SULAC	unreviewed	Sugar transporter	Saci_2095	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	457
AAY81352	Q4J779	Q4J779_SULAC	unreviewed	Conserved transport protein	Saci_2058	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	443
AAY81420	Q4J705	Q4J705_SULAC	unreviewed	Transporter	Saci_2127	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	412
AAY81141	Q4J7U1	Q4J7U1_SULAC	unreviewed	Proline/betaine transporter	proP Saci_1835	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	426
AAY81154	Q4J7S7	Q4J7S7_SULAC	unreviewed	Proline/betaine transporter	Saci_1848	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	404
AAY81422	Q4J703	Q4J703_SULAC	unreviewed	Sugar transporter	Saci_2129	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	430
AAY81568	Q4J6L4	Q4J6L4_SULAC	unreviewed	Transporter protein	Saci_2282	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	444
AAY81112	Q4J7W9	Q4J7W9_SULAC	unreviewed	Sugar transporter	Saci_1806	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	370
AAY80058	Q4JAX1	Q4JAX1_SULAC	unreviewed	Conserved membrane protein	Saci_0675	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	438
AAY81037	Q4J845	Q4J845_SULAC	unreviewed	Sugar transporter	Saci_1731	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	443
AAY79673	Q4JC06	Q4JC06_SULAC	unreviewed	Conserved Archaeal protein	Saci_0256	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	96
AAY79677	Q4JC02	Q4JC02_SULAC	unreviewed	Conserved protein	Saci_0261	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	167
AAY79724	Q4JBV5	Q4JBV5_SULAC	unreviewed	Conserved protein	Saci_0308	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	82
AAY80387	Q4JA03	Q4JA03_SULAC	unreviewed	Conserved Archaeal protein	Saci_1030	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	166
AAY81074	Q4J808	Q4J808_SULAC	unreviewed	Methyltransferase	Saci_1768	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	178
AAY79678	Q4JC01	Q4JC01_SULAC	unreviewed	Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)	pccB Saci_0262	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	511
AAY80286	Q4JA94	Q4JA94_SULAC	unreviewed	Conserved protein	Saci_0923	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	141
AAY79577	Q4JCA2	Q4JCA2_SULAC	unreviewed	Conserved Archaeal membrane protein	Saci_0156	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	93
AAY80234	Q4JAE5	Q4JAE5_SULAC	unreviewed	Conserved membrane protein	Saci_0867	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	91
AAY80605	Q4J9C6	OGT_SULAC	reviewed	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (6-O-methylguanine-DNA methyltransferase) (MGMT) (O-6-methylguanine-DNA-alkyltransferase)	ogt Saci_1260	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	155
AAY79665	Q4JC14	Q4JC14_SULAC	unreviewed	Conserved Archaeal protein	Saci_0248	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	149
AAY81257	Q4J7H4	Q4J7H4_SULAC	unreviewed	Ribonuclease VapC (RNase VapC) (EC 3.1.-.-) (Putative toxin VapC)	vapC Saci_1954	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	131
AAY81326	Q4J7A5	Q4J7A5_SULAC	unreviewed	Ribonuclease VapC (RNase VapC) (EC 3.1.-.-) (Putative toxin VapC)	vapC Saci_2030	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	133
AAY79802	Q4JBM7	Q4JBM7_SULAC	unreviewed	Conserved protein	Saci_0386	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	128
AAY79560	Q4JCB9	THIC_SULAC	reviewed	Phosphomethylpyrimidine synthase (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Thiamine biosynthesis protein ThiC)	thiC Saci_0137	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	428
AAY81404	Q4J727	Q4J727_SULAC	unreviewed	Sugar transporter	Saci_2110	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	435
AAY81251	Q4J7I0	Q4J7I0_SULAC	unreviewed	Transporter	Saci_1948	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	412
AAY81007	Q4J876	Q4J876_SULAC	unreviewed	Conserved protein	Saci_1701	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	483
AAB03278	Q55080	CP119_SULAC	reviewed	Cytochrome P450 119 (EC 1.14.-.-) (Peroxidase) (EC 1.11.1.7)	cyp119 Saci_2081	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	368
AAY80517	Q4J9L3	MSRA_SULAC	reviewed	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	msrA Saci_1170	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	176
AAY80381	Q4J9Z4	Q4J9Z4_SULAC	unreviewed	Protease (EC 3.4.-.-)	Saci_1024	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	297
AAY80573	Q4J9F6	Q4J9F6_SULAC	unreviewed	Deoxyribodipyrimidine photolyase (EC 4.1.99.3)	phr Saci_1227	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	430
AAY81416	Q4J709	Q4J709_SULAC	unreviewed	ABC transporter	Saci_2123	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	861
AAY81128	Q4J7V5	Q4J7V5_SULAC	unreviewed	Conserved Rieske (2Fe-2S) protein	Saci_1822	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	110
AAY79609	Q4JC70	Q4JC70_SULAC	unreviewed	Conserved protein	Saci_0190	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	100
AAY81266	Q4J7G6	Q4J7G6_SULAC	unreviewed	Conserved Archaeal Rieske-type (2Fe-2S) protein	Saci_1963	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	109
AAY79647	Q4JC32	Q4JC32_SULAC	unreviewed	Conserved protein	Saci_0228	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	105
AAY80612	Q4J9B8	Q4J9B8_SULAC	unreviewed	Conserved protein	Saci_1269	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	199
AAY80554	Q4J9H6	Q4J9H6_SULAC	unreviewed	Conserved protein	Saci_1208	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	235
AAY81001	Q4J880	Q4J880_SULAC	unreviewed	Sodium/calcium exchanger protein	Saci_1693	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	308
AAY81029	Q4J848	Q4J848_SULAC	unreviewed	Conserved membrane protein	Saci_1723	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	310
AAY79926	Q4JBA3	Q4JBA3_SULAC	unreviewed	YcaO domain-containing protein	Saci_0526	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	434
AAY80555	Q4J9H5	Q4J9H5_SULAC	unreviewed	Conserved protein	Saci_1209	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	360
AAY80557	Q4J9H3	Q4J9H3_SULAC	unreviewed	Conserved protein	Saci_1211	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	380
AAY81583	Q4J6J9	Q4J6J9_SULAC	unreviewed	Pirin-related protein	Saci_2297	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	293
AAY81040	Q4J842	Q4J842_SULAC	unreviewed	Phytoene synthase (EC 2.5.1.-)	Saci_1734	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	275
AAY80591	Q4J9D9	Q4J9D9_SULAC	unreviewed	Diphosphomevalonate decarboxylase (EC 4.1.1.33)	mvd Saci_1245	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	325
AAY81585	Q4J6J6	PHS_SULAC	reviewed	Putative pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Pterin carbinolamine dehydratase) (PCD)	Saci_2299	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	91
AAY81027	Q4J850	Q4J850_SULAC	unreviewed	Conserved protein	Saci_1721	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	148
BAA11864	O05152	O05152_9CREN	unreviewed	Glycogen debranching enzyme	treX ATY89_10835 ATZ20_02390	Sulfolobus acidocaldarius	713
BAA11011	Q53641	Q53641_9CREN	unreviewed	Malto-oligosyltrehalose trehalohydrolase (MTHase) (EC 3.2.1.141) (4-alpha-D-((1->4)-alpha-D-glucano)trehalose trehalohydrolase) (Maltooligosyl trehalose trehalohydrolase)	treZ ATY89_10830 ATZ20_02385	Sulfolobus acidocaldarius	556
AAY80107	P60464	SECG_SULAC	reviewed	Preprotein translocase subunit SecG (Protein transport protein Sec61 subunit beta homolog)	Saci_0729	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	59
AAY79788	Q4JBP1	Q4JBP1_SULAC	unreviewed	Aminopeptidase (EC 3.4.11.-)	ape2 Saci_0372	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	782
AAY79758	Q4JBS1	Q4JBS1_SULAC	unreviewed	Conserved protein	Saci_0342	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	277
AAY80936	Q4J8E2	Q4J8E2_SULAC	unreviewed	Conserved protein	Saci_1624	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	188
AAY81362	Q4J769	Q4J769_SULAC	unreviewed	Uncharacterized protein	Saci_2068	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	204
AAY80580	Q4J9F0	Q4J9F0_SULAC	unreviewed	Cupin_2 domain-containing protein	Saci_1234	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	136
AAY80856	Q4J8M4	Q4J8M4_SULAC	unreviewed	DNA primase large subunit PriL	priL Saci_1542	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	302
AAY79557	Q4JCC2	Q4JCC2_SULAC	unreviewed	Conserved Crenarchaeal protein	Saci_0134	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	312
AAY80500	Q4J9N1	Q4J9N1_SULAC	unreviewed	Epimerase domain-containing protein	Saci_1153	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	181
AAY79442	Q4JCN7	Q4JCN7_SULAC	unreviewed	Conserved Archaeal protein	Saci_0012	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	222
AAY80585	Q4J9E5	Q4J9E5_SULAC	unreviewed	TPR domain protein	Saci_1239	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	250
AAY81322	Q4J7A9	Q4J7A9_SULAC	unreviewed	Conserved TPR domain protein	Saci_2026	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	399
CAD79428	P80143	UDDP_SULAC	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Dolicholpyrophosphatase)	sepP Saci_1025	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	206
AAY81622	Q4J6F9	Q4J6F9_SULAC	unreviewed	Membrane linked NAD(P)H-quinone oxidoreductase chain 4L (EC 1.6.5.3)	ndhE Saci_2340	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	94
AAY79467	Q4JCL2	Q4JCL2_SULAC	unreviewed	Uncharacterized protein	Saci_0037	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	351
AAY79702	Q4JBX7	Q4JBX7_SULAC	unreviewed	Conserved DedA family protein	Saci_0286	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	190
AAY79444	Q4JCN5	Q4JCN5_SULAC	unreviewed	Conserved membrane protein	Saci_0014	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	202
AAY80258	Q4JAC2	Q4JAC2_SULAC	unreviewed	Conserved Archaeal protein	Saci_0895	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	178
AAY80023	Q4JB06	Q4JB06_SULAC	unreviewed	Resolvase	Saci_0634	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	216
AAY81318	Q4J7B3	Q4J7B3_SULAC	unreviewed	ISC1913-like resolvase	Saci_2022	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	209
AAY79922	Q4JBA7	Q4JBA7_SULAC	unreviewed	Conserved Archaeal protein	Saci_0520	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	453
AAY81617	Q4J6G4	Q4J6G4_SULAC	unreviewed	Conserved Archaeal protein	Saci_2334	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	430
AAY80771	Q4J8W0	Q4J8W0_SULAC	unreviewed	Conserved Archaeal protein	Saci_1447	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	514
AAY81079	Q4J802	Q4J802_SULAC	unreviewed	Conserved Archaeal protein	Saci_1773	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	428
AAY81233	Q4J7J6	Q4J7J6_SULAC	unreviewed	Conserved protein	Saci_1930	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	416
AAY81293	Q4J7D8	Q4J7D8_SULAC	unreviewed	Universally conserved protein	Saci_1991	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	412
AAY79705	Q4JBX4	Q4JBX4_SULAC	unreviewed	Conserved Archaeal protein	Saci_0289	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	341
AAY80437	Q4J9U4	Q4J9U4_SULAC	unreviewed	Conserved Archaeal protein	Saci_1080	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	352
AAY80485	Q4J9P4	Q4J9P4_SULAC	unreviewed	ATPase of the AAA superfamily (EC 3.6.-.-)	Saci_1133	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	356
AAY81321	Q4J7B0	Q4J7B0_SULAC	unreviewed	Conserved Archaeal protein	Saci_2025	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	360
AAY81247	Q4J7I4	Q4J7I4_SULAC	unreviewed	Conserved membrane protein	Saci_1944	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	186
AAY81259	Q4J7H2	Q4J7H2_SULAC	unreviewed	Conserved Prokaryal protein	Saci_1956	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	147
AAY81406	Q4J726	Q4J726_SULAC	unreviewed	Transcriptional regulator MarR family	Saci_2112	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	146
AAY80980	Q4J8A1	Q4J8A1_SULAC	unreviewed	Transcriptional regulator MarR family	Saci_1670	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	140
BAA05941	P39465	GPT_SULAC	reviewed	Putative UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase (EC 2.7.8.15) (GlcNAc-1-P transferase) (G1PT) (GPT) (N-acetylglucosamine-1-phosphate transferase)	gnpTA Saci_0093	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	328
AAY81632	Q4J6E9	Q4J6E9_SULAC	unreviewed	Conserved protein	Saci_2350	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	229
AAY80775	Q4J8V5	Q4J8V5_SULAC	unreviewed	Conserved Archaeal protein	Saci_1454	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	211
AAY81192	Q4J7P0	Q4J7P0_SULAC	unreviewed	ATPase_AAA_core domain-containing protein	Saci_1887	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	396
AAY79578	Q4JCA1	Q4JCA1_SULAC	unreviewed	Conserved protein	Saci_0157	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	495
AAY79999	Q4JB30	Q4JB30_SULAC	unreviewed	Probable Brix domain-containing ribosomal biogenesis protein	Saci_0607	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	199
AAY81612	Q4J6G9	Q4J6G9_SULAC	unreviewed	Conserved protein	Saci_2328	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	273
AAY80547	Q4J9I4	Q4J9I4_SULAC	unreviewed	Alpha-amylase (EC 3.2.1.1)	Saci_1200	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	444
AAY80509	Q4J9M2	Q4J9M2_SULAC	unreviewed	Membrane bound alpha-amylase (EC 3.2.1.1)	Saci_1162	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	884
AAY80545	Q4J9I5	Q4J9I5_SULAC	unreviewed	Glycosyl hydrolase (EC 3.2.1.-)	Saci_1198	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	617
AAY80596	Q4J9D4	TREH2_SULAC	reviewed	Trehalase 2 (EC 3.2.1.28) (Alpha,alpha-trehalase) (SaTreH2)	treH2 Saci_1250	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	576
AAY81122	Q4J7W0	TREH1_SULAC	reviewed	Trehalase 1 (EC 3.2.1.28) (Alpha,alpha-trehalase) (SaTreH1)	treH1 Saci_1816	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	558
AAY80544	Q4J9I6	Q4J9I6_SULAC	unreviewed	Conserved protein	Saci_1197	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	610
AAY79861	Q4JBG8	Q4JBG8_SULAC	unreviewed	SRSR-binding protein	Saci_0449	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	162
AAY81587	Q4J6J4	Q4J6J4_SULAC	unreviewed	Tricorn protease homolog (EC 3.4.21.-)	Saci_2301	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	1007
AAY79941	Q4JB88	Q4JB88_SULAC	unreviewed	Conserved Archaeal protein	Saci_0545	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	155
AAY79889	Q4JBE0	Q4JBE0_SULAC	unreviewed	Conserved conjugative plasmid protein	Saci_0483	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	95
AAY79895	Q4JBD4	Q4JBD4_SULAC	unreviewed	Conserved conjugative plasmid protein	Saci_0489	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	97
AAY81399	Q4J732	Q4J732_SULAC	unreviewed	Conserved TPR domain protein	Saci_2105	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	254
AAY81288	Q4J7E6	Q4J7E6_SULAC	unreviewed	Uncharacterized protein	Saci_1986	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	156
AAY81289	Q4J7E5	Q4J7E5_SULAC	unreviewed	Uncharacterized protein	Saci_1987	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	300
AAY80561	Q4J9G9	Q4J9G9_SULAC	unreviewed	Conserved protein	Saci_1215	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	429
AAY81335	Q4J795	Q4J795_SULAC	unreviewed	Pyrimidine transporter	Saci_2039	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	455
